X1	X2	X3	X4	X5	Y1	Y2	Y3	Y4	Y5
3	3	3	3	2	58	NA	48	93	90
4	2	2	NA	2	22	65	73	79	98
1	1	NA	1	4	21	42	12	37	49
3	2	NA	2	2	90	98	82	85	36
2	2	3	2	2	69	72	NA	78	55
1	4	1	4	4	42	29	28	19	18
4	4	2	2	3	67	22	91	70	77
4	1	2	4	4	NA	32	85	NA	13
1	2	3	2	1	40	79	62	45	NA
1	4	4	4	2	14	11	75	20	83
1	4	1	4	4	40	20	47	29	62
3	2	2	2	2	80	84	44	NA	71
1	4	4	4	4	28	14	49	25	47
1	4	1	4	3	9	14	NA	16	74
1	4	4	2	3	42	60	15	52	49
4	1	4	3	3	57	23	41	54	93
3	3	2	3	2	57	73	61	71	NA
3	2	4	4	1	66	NA	24	34	12
2	3	3	3	3	80	81	58	NA	48
2	2	1	NA	3	41	97	57	80	68
3	NA	4	1	1	52	68	29	10	58
3	4	3	3	2	93	22	69	70	68
3	2	4	4	2	88	47	9	35	90
1	4	4	4	3	47	29	62	18	91
4	1	NA	2	2	29	45	69	91	67
4	4	1	4	4	47	67	28	52	17
1	NA	2	2	4	45	69	91	67	20
3	3	2	2	2	69	70	68	91	70
2	4	1	4	3	36	NA	16	21	94
1	4	3	1	1	12	34	55	32	24
3	3	2	3	3	93	58	53	96	55
4	4	4	3	2	4	68	21	57	78
4	1	3	3	3	28	38	51	95	91
2	3	3	1	3	96	74	NA	38	62
1	2	3	NA	3	14	90	91	54	52
2	3	4	1	4	67	65	21	33	18
2	3	4	4	1	33	85	40	54	33
4	4	4	3	3	25	29	80	74	82
1	2	3	3	2	28	56	93	58	53
2	1	1	4	1	68	NA	48	8	42
4	1	NA	3	3	NA	28	58	79	NA
1	4	4	4	2	33	18	51	30	93
NA	1	1	4	4	57	35	42	60	15
4	1	4	3	NA	23	50	12	59	92
1	1	3	2	3	33	NA	78	65	37
2	3	2	2	3	61	71	NA	93	91
2	NA	3	2	3	58	89	83	78	42
2	2	3	2	1	NA	75	81	70	12
2	2	3	1	4	68	76	89	28	10
3	1	1	1	4	79	NA	50	23	33
4	4	4	1	1	70	67	23	38	29
2	3	NA	1	NA	70	NA	70	41	12
1	4	3	3	3	16	21	94	68	58
4	2	4	1	4	35	90	11	8	37
4	3	2	2	1	18	65	41	97	57
4	3	1	1	NA	34	55	32	24	16
1	4	2	3	2	24	31	NA	65	54
3	2	2	3	2	71	NA	87	51	51
4	1	4	NA	3	33	37	32	72	84
4	2	1	1	1	22	96	24	21	54
1	1	3	3	1	58	17	78	75	9
4	1	4	3	3	NA	16	21	94	68
3	2	3	2	1	85	55	77	78	32
3	3	3	3	2	95	91	96	90	60
1	1	3	2	3	32	13	38	67	79
2	NA	3	3	2	82	82	78	93	54
1	1	4	2	1	8	33	22	96	24
NA	4	1	2	4	80	55	44	82	29
3	3	2	2	2	NA	68	81	83	56
3	1	1	1	NA	NA	26	21	42	12
2	2	2	3	3	NA	89	71	93	88
4	1	3	2	3	25	54	73	48	48
1	4	1	4	3	9	23	50	12	59
4	4	4	1	1	62	3	23	53	32
1	4	4	4	1	60	10	20	28	38
1	4	1	1	1	58	24	29	NA	11
4	4	2	3	2	46	11	69	63	53
2	1	1	1	2	96	24	21	54	73
1	4	1	4	2	4	5	29	8	51
2	NA	1	1	1	64	9	16	24	24
4	1	4	1	1	7	52	7	10	55
1	4	3	3	2	74	17	71	47	96
3	3	1	1	1	78	78	16	18	23
4	4	2	1	1	26	42	57	16	42
2	2	2	3	3	77	82	72	82	49
3	3	1	4	3	52	80	12	34	55
2	3	3	2	2	78	80	94	88	96
4	4	2	3	3	18	46	96	74	NA
1	4	4	4	4	37	60	48	30	18
1	4	4	1	4	45	15	33	37	32
1	2	3	1	4	31	56	97	60	15
1	1	2	3	1	11	31	56	97	60
2	4	4	1	4	NA	24	34	12	30
1	NA	3	3	2	41	12	74	33	77
2	3	2	1	3	55	77	78	32	NA
4	4	1	4	1	17	45	23	26	19
1	1	4	1	4	29	19	8	25	46
2	2	3	2	4	69	56	43	46	50
1	4	3	3	2	13	36	NA	88	47
1	4	1	4	3	43	17	74	17	71
2	3	2	2	2	NA	79	96	90	80
4	1	1	2	2	NA	5	20	72	86
4	3	2	3	3	13	89	78	80	94
4	4	3	3	NA	29	80	74	82	NA
1	3	1	4	2	35	89	24	31	NA
2	2	2	3	2	46	49	91	62	33
1	1	1	4	4	37	30	16	29	33
4	3	3	NA	3	80	74	82	NA	67
1	1	1	2	3	10	58	6	48	81
2	4	2	3	2	48	3	95	85	55
2	4	1	4	1	90	11	8	37	12
1	1	3	3	1	53	32	83	85	18
4	4	1	NA	3	64	NA	28	58	79
2	2	1	4	NA	60	69	16	31	39
1	1	3	2	2	11	3	55	NA	89
4	1	1	1	2	24	29	NA	11	77
1	4	1	4	1	19	8	25	46	28
1	4	4	4	1	39	49	47	67	28
3	3	4	2	1	57	78	14	75	3
4	1	1	1	1	22	18	71	22	31
4	4	NA	1	1	20	41	45	7	13
3	3	2	2	2	47	43	58	64	NA
NA	3	2	1	3	54	67	76	9	67
3	3	2	NA	3	55	83	68	58	94
3	1	1	1	1	78	16	18	23	28
3	2	2	2	2	94	88	96	54	76
1	4	4	4	4	11	37	70	67	23
4	2	3	2	2	31	NA	65	54	86
1	4	NA	4	1	45	34	26	40	13
2	3	3	1	4	51	98	80	61	49
NA	3	3	2	3	82	78	93	54	37
3	3	3	2	NA	98	93	76	82	82
4	4	1	4	4	NA	62	26	16	47
4	4	3	2	2	33	24	82	87	55
1	1	4	4	4	44	35	54	25	29
3	3	1	3	3	74	NA	38	62	61
2	3	3	1	4	87	59	78	26	45
2	3	2	2	3	76	71	NA	87	51
4	3	NA	2	1	26	88	69	88	21
1	1	1	4	1	19	28	32	30	6
3	3	2	2	1	88	67	60	69	16
1	1	4	NA	2	19	33	28	57	85
3	4	4	1	3	93	41	57	33	88
3	NA	1	NA	3	NA	70	41	12	74
NA	3	3	3	3	72	84	74	91	69
3	1	4	4	1	97	60	15	NA	30
4	2	3	NA	4	27	50	52	68	29
2	2	3	4	1	85	67	65	21	33
2	2	3	1	1	NA	77	79	NA	50
2	3	3	4	1	45	75	84	11	12
3	2	2	3	1	65	54	86	61	11
4	2	3	3	1	46	96	74	NA	38
1	4	4	1	1	47	24	16	58	12
4	2	4	2	3	18	48	3	95	85
4	4	1	1	1	16	13	31	34	28
1	1	4	3	2	58	12	45	98	58
NA	3	2	2	2	76	73	91	69	56
2	3	3	2	1	97	82	77	50	35
3	1	2	3	3	53	28	56	93	58
2	2	3	1	1	100	NA	61	NA	39
4	1	1	1	1	18	12	25	16	40
4	1	4	3	3	17	74	17	71	47
1	4	4	4	4	12	30	40	19	13
1	4	1	2	2	28	50	NA	100	NA
3	3	4	1	4	75	84	11	12	13
3	2	3	4	2	63	53	77	18	48
1	2	2	2	3	37	46	49	91	62
4	4	1	3	2	25	32	13	80	84
4	4	4	NA	1	23	20	41	45	7
4	3	2	NA	3	45	98	58	89	83
3	3	3	NA	2	91	69	NA	93	82
2	2	3	3	2	83	71	83	46	78
2	4	4	1	4	78	NA	62	26	16
3	3	4	2	3	74	89	27	50	52
3	3	3	3	2	60	62	93	95	68
1	1	NA	1	4	32	24	16	14	75
4	4	4	4	2	48	30	18	46	96
4	2	1	1	1	42	57	16	42	4
2	1	4	1	4	91	42	29	28	19
1	2	2	1	1	21	74	65	29	23
1	1	2	2	2	21	37	46	49	91
3	NA	3	3	1	91	54	52	80	12
4	1	4	1	4	17	17	45	44	16
2	NA	3	2	2	64	74	94	92	69
4	1	4	1	1	11	8	37	12	32
1	4	4	1	NA	30	64	NA	28	58
4	1	4	2	3	5	29	8	51	98
NA	3	2	3	2	89	83	78	42	90
1	1	1	1	1	33	15	14	25	45
4	4	2	NA	1	46	58	76	21	6
4	4	1	4	NA	15	33	37	32	72
4	4	4	2	3	30	18	46	96	74
4	1	4	1	4	11	55	7	52	7
3	3	3	2	2	73	47	43	58	64
2	3	1	2	2	39	78	40	72	88
1	1	3	3	2	19	35	70	94	54
3	3	1	4	3	80	94	41	23	83
2	3	3	3	2	72	82	49	80	64
4	4	4	1	3	10	20	28	38	51
3	3	3	3	3	51	95	91	96	90
3	NA	4	1	2	93	80	55	44	82
4	4	1	1	1	3	18	12	25	16
2	3	2	3	3	82	76	97	82	77
1	4	4	NA	3	46	24	64	90	78
1	3	2	3	3	11	45	80	81	58
3	2	1	1	1	50	92	31	23	58
3	3	2	4	2	77	80	69	33	55
1	4	1	4	4	17	45	44	16	13
1	1	3	2	3	24	11	45	80	81
1	1	4	1	3	4	58	32	19	78
4	1	4	1	1	53	37	26	21	19
3	3	2	NA	3	49	76	81	54	67
1	1	4	4	4	30	16	29	33	69
1	3	3	2	3	9	81	67	50	75
1	1	4	4	4	30	14	22	32	NA
2	3	3	NA	4	82	54	93	80	55
3	3	2	2	2	74	33	77	82	72
1	1	4	1	4	12	21	10	9	23
1	2	2	2	1	20	72	86	52	11
3	3	2	2	3	60	69	85	45	75
1	1	1	3	3	67	58	17	78	75
1	4	NA	2	2	33	28	57	85	67
1	4	NA	1	4	40	20	87	31	46
3	2	3	4	1	80	79	89	36	4
3	3	1	2	3	67	53	28	56	93
2	2	2	3	3	96	90	80	77	80
4	4	4	3	2	50	4	20	80	88
3	4	4	1	1	85	40	54	33	NA
2	3	NA	2	1	56	77	54	85	9
2	3	2	3	4	69	63	53	77	18
2	2	3	1	1	55	79	73	37	30
1	4	3	2	NA	12	45	98	58	89
NA	2	1	2	2	69	88	21	74	65
1	1	4	4	4	NA	39	49	47	67
NA	1	3	3	3	NA	55	64	96	75
2	2	3	1	2	96	39	78	40	72
1	1	NA	2	2	11	19	70	83	51
1	1	3	2	3	28	26	79	56	77
3	3	3	2	2	37	88	67	60	69
4	4	4	1	4	NA	45	14	9	14
2	3	2	1	1	68	50	92	31	23
2	3	NA	1	1	72	35	58	27	15
2	3	4	1	4	55	62	42	34	NA
NA	1	4	4	2	87	31	46	11	69
2	1	1	1	1	65	29	23	23	41
3	2	2	2	1	68	81	83	56	37
4	1	4	4	3	62	26	16	47	86
1	4	NA	3	3	37	32	72	84	74
1	1	3	3	NA	39	7	73	NA	97
2	2	3	3	4	85	45	75	84	11
1	1	2	2	2	5	20	72	86	52
2	3	2	2	2	72	NA	78	55	36
1	1	3	3	2	37	9	81	67	50
1	1	2	3	2	58	6	48	81	75
2	4	1	NA	1	93	37	29	NA	55
4	1	4	4	1	28	20	3	18	12
4	2	3	2	3	11	69	63	53	77
4	4	4	NA	1	40	19	13	57	35
4	1	3	2	NA	32	19	78	64	74
4	1	NA	1	3	37	29	NA	55	64
3	4	2	1	4	78	14	75	3	23
2	2	3	4	1	81	55	62	42	34
4	4	1	3	3	61	14	38	NA	68
3	2	3	3	2	37	62	49	76	81
2	2	2	3	NA	68	91	70	NA	70
2	1	1	4	1	87	29	35	4	19
2	2	1	1	4	78	68	14	39	NA
2	2	2	3	2	NA	71	67	96	97
2	2	1	1	2	86	52	11	31	56
3	2	3	4	4	62	33	85	40	54
4	1	4	1	4	38	43	17	74	17
2	4	4	1	1	82	46	NA	5	20
NA	2	3	3	NA	93	82	54	93	80
1	1	1	NA	1	26	21	42	12	37
3	3	1	4	NA	78	75	9	15	NA
3	2	4	NA	3	43	46	50	33	74
3	4	4	2	2	78	67	22	91	70
3	2	2	4	4	74	79	82	46	NA
4	4	2	4	1	51	30	93	37	29
2	2	2	3	3	96	54	76	80	94
1	1	4	2	3	50	23	33	64	32
2	4	4	3	2	85	NA	13	89	78
NA	3	2	2	3	58	94	82	95	66
2	2	3	2	3	NA	87	51	51	88
4	1	1	1	3	37	12	32	13	38
4	1	1	4	2	NA	8	33	22	96
1	3	3	2	3	35	70	94	54	46
4	4	1	1	4	24	16	58	12	45
1	4	1	4	1	30	19	54	47	60
2	2	2	2	2	84	44	NA	71	67
1	1	1	4	1	12	12	21	10	9
1	4	1	1	4	6	NA	8	33	22
3	4	1	4	4	65	21	33	18	51
1	2	2	3	3	12	82	74	47	61
1	4	4	3	2	28	19	18	65	41
1	3	2	2	1	33	88	80	92	29
3	2	2	NA	3	68	65	56	62	90
3	2	3	3	3	67	50	75	87	71
4	4	1	1	3	6	30	37	9	81
2	2	4	1	4	75	60	46	60	46
4	3	4	4	1	42	92	36	8	31
2	3	2	3	2	95	85	55	77	78
4	1	NA	4	3	40	6	62	42	92
3	2	3	2	4	49	96	90	93	53
3	2	2	3	3	69	85	45	75	84
3	2	NA	3	2	83	68	58	94	82
3	2	3	3	2	38	67	79	80	79
2	4	4	4	4	NA	28	11	17	45
3	3	2	NA	3	93	76	82	82	78
4	4	4	4	1	28	11	17	45	23
2	2	3	2	2	71	67	96	97	82
4	3	3	2	2	22	69	70	68	91
3	3	NA	3	2	67	78	76	73	91
2	1	1	2	3	52	11	31	56	97
4	4	4	4	1	37	70	67	23	38
3	1	4	4	4	89	28	10	23	20
1	1	4	4	4	23	28	14	49	25
2	2	3	NA	1	91	70	NA	70	41
1	2	4	1	NA	44	82	29	45	69
1	1	2	2	2	NA	11	77	72	91
1	1	3	3	2	36	24	54	77	78
2	2	2	3	2	58	64	NA	79	96
1	4	2	3	2	NA	36	82	76	97
2	3	3	1	4	93	91	94	NA	35
4	3	3	2	3	17	71	47	96	93
3	2	2	1	1	77	78	68	14	39
1	4	4	4	4	NA	17	50	4	20
3	2	1	1	3	81	70	12	35	89
1	1	1	1	2	18	71	22	31	84
3	1	1	4	4	80	16	NA	6	30
4	2	3	2	3	3	95	85	55	77
4	1	1	4	4	45	30	14	22	32
NA	2	2	NA	3	82	85	36	78	80
4	1	1	3	2	54	33	NA	78	65
4	4	4	4	4	14	49	25	47	48
3	3	2	1	2	83	40	70	20	NA
2	3	3	1	4	76	80	94	41	23
1	4	2	3	3	23	33	64	32	81
3	2	2	2	3	73	91	69	56	43
1	3	3	1	1	32	83	85	18	NA
1	3	2	3	2	NA	78	70	39	91
4	4	4	4	NA	30	40	19	13	57
1	1	2	2	4	22	31	84	69	57
2	4	1	4	4	60	46	60	46	58
4	4	1	4	4	24	34	12	30	40
1	1	1	4	4	7	13	18	46	58
2	2	4	1	4	55	36	NA	16	21
3	2	3	3	2	NA	74	91	88	87
2	3	3	2	3	74	91	88	87	59
3	2	4	4	1	66	78	NA	62	26
4	1	1	1	3	18	NA	26	13	77
4	1	1	4	4	20	16	14	11	75
3	2	3	3	2	89	78	80	94	88
3	2	2	1	4	67	60	69	16	31
4	1	1	1	1	75	6	10	32	40
1	1	4	4	1	8	30	64	NA	28
1	1	4	1	4	16	40	20	47	29
4	3	3	1	1	41	54	93	29	17
2	4	2	2	4	69	33	55	94	38
2	3	1	1	4	NA	61	NA	39	49
2	NA	1	4	4	86	70	29	61	14
3	3	1	4	4	98	80	61	49	21
3	3	2	2	2	68	58	80	90	68
1	3	2	2	2	3	55	NA	89	71
4	1	4	1	2	46	28	50	NA	100
3	2	2	4	1	81	75	60	46	60
2	3	4	2	4	53	77	18	48	3
2	3	2	4	1	70	77	65	16	21
2	3	3	2	4	80	77	80	69	33
3	3	1	4	4	32	81	47	24	16
1	1	2	2	3	34	12	82	74	47
4	3	2	3	4	20	80	88	89	51
4	1	4	1	4	19	54	47	60	10
2	2	2	3	2	91	69	56	43	46
4	4	4	1	1	48	43	56	8	30
1	NA	3	3	1	28	58	79	NA	26
3	3	3	4	2	81	57	78	14	75
1	4	4	1	NA	12	13	20	38	58
2	1	4	2	3	45	NA	36	82	76
1	1	1	4	1	34	28	19	31	63
3	3	2	3	1	71	47	96	93	41
4	4	1	3	2	28	25	54	73	48
4	NA	3	3	4	50	33	74	89	27
4	4	1	1	1	46	58	12	12	21
3	2	NA	3	2	78	64	74	94	92
2	NA	1	1	1	76	21	6	9	NA
1	4	3	2	2	NA	16	74	79	82
4	4	4	4	4	49	25	47	48	43
4	4	4	2	2	11	75	20	83	71
1	4	2	1	1	33	22	96	24	21
1	1	1	4	1	25	16	40	20	47
2	2	2	NA	2	72	91	58	72	81
2	3	2	3	3	65	37	62	49	76
3	2	3	2	4	83	78	42	90	11
1	3	3	2	2	24	54	77	78	68
1	2	4	4	3	32	85	NA	13	89
3	2	2	2	4	NA	78	55	36	NA
3	2	3	2	1	78	70	39	91	42
4	1	1	1	1	11	41	29	28	26
2	1	2	2	1	88	21	74	65	29
2	2	4	1	4	84	69	57	23	41
4	4	4	4	1	47	48	43	56	8
4	1	4	1	4	NA	30	19	54	47
2	3	3	3	4	60	81	57	78	14
NA	3	3	1	1	86	78	78	16	18
2	3	2	2	4	48	81	75	60	46
4	NA	4	1	4	34	26	40	13	36
2	3	3	3	2	82	98	93	76	82
2	2	3	3	3	82	74	47	61	73
1	3	3	3	3	38	51	95	91	96
4	4	4	4	3	29	33	69	26	88
4	1	1	1	1	13	31	34	28	19
2	3	4	4	4	88	89	51	26	40
1	1	1	1	4	16	18	23	28	14
1	1	1	4	2	27	15	25	39	50
2	4	1	1	1	90	11	41	29	28
3	2	2	2	3	55	NA	89	71	93
1	1	4	4	4	38	29	28	NA	45
2	NA	3	3	1	63	86	78	78	16
4	4	3	3	2	62	18	91	75	63
2	4	1	NA	2	82	29	45	69	91
2	3	2	3	2	52	49	96	90	93
4	1	4	1	1	42	34	NA	39	7
3	2	1	3	3	57	78	39	60	62
3	1	2	2	2	78	40	72	88	NA
3	2	2	2	3	70	68	91	70	NA
3	2	3	2	2	93	90	66	70	61
4	4	1	3	2	41	57	33	88	80
3	2	1	1	4	77	50	35	46	24
2	3	3	3	3	50	75	87	71	68
3	3	2	3	3	78	93	54	37	88
1	3	3	3	3	39	60	62	93	95
3	NA	1	1	3	59	92	36	24	54
2	2	NA	3	1	85	36	78	80	16
3	3	2	3	2	70	94	54	46	62
1	1	4	2	NA	15	25	39	50	NA
1	4	4	1	1	NA	6	30	37	9
1	4	1	1	1	23	26	19	28	32
2	3	3	3	2	54	37	88	67	60
1	1	1	1	2	6	10	32	40	79
1	4	4	1	1	18	46	58	12	12
3	NA	2	1	2	88	69	88	21	74
2	3	2	1	4	79	62	45	NA	36
NA	1	1	1	3	29	67	58	17	78
4	1	4	1	1	30	6	NA	8	33
3	2	1	3	3	67	76	9	67	53
1	3	3	1	2	9	67	53	28	56
2	NA	3	2	2	92	66	85	36	87
2	NA	2	2	3	58	72	81	55	62
1	3	3	1	4	17	78	75	9	15
1	3	3	4	1	38	62	61	17	17
4	4	1	4	4	8	1	13	27	24
4	2	3	3	1	8	51	98	80	61
1	1	1	3	3	21	19	35	70	94
4	4	3	2	3	4	20	80	88	89
NA	2	2	4	1	69	91	67	20	16
3	2	3	3	3	58	53	96	55	83
3	3	2	NA	1	49	80	64	9	16
1	4	2	NA	3	25	39	50	NA	83
3	1	4	4	1	80	61	49	21	9
3	3	3	4	1	87	71	68	24	14
1	4	3	3	2	41	23	83	40	70
2	2	3	4	1	74	79	84	22	18
2	3	1	1	1	79	73	37	30	16
3	3	4	1	4	62	61	17	17	45
3	3	NA	2	3	69	NA	93	82	54
1	1	4	1	4	NA	48	8	42	18
3	2	3	1	1	47	96	93	41	47
NA	2	2	3	4	72	81	55	62	42
2	NA	3	1	1	36	78	80	16	NA
2	3	2	1	1	51	88	53	45	40
3	4	4	4	1	89	51	26	40	6
1	1	4	1	1	23	58	24	29	NA
4	4	2	2	3	75	20	83	71	83
4	NA	1	1	1	41	45	7	13	18
3	2	4	1	1	77	65	16	21	37
4	1	3	2	2	32	13	80	84	44
1	NA	2	2	3	19	70	83	51	74
1	1	4	4	2	29	17	26	42	57
3	2	3	3	3	45	80	81	58	NA
3	3	3	2	3	62	93	95	68	50
4	1	1	2	2	40	34	12	82	74
1	1	4	4	4	18	NA	17	50	4
1	4	4	4	1	39	NA	28	25	54
2	2	1	4	4	95	75	14	4	68
NA	1	NA	3	3	70	41	12	74	33
4	4	1	2	3	42	11	14	90	91
3	1	2	NA	3	78	15	63	86	78
4	1	3	3	2	14	38	NA	68	81
2	3	3	2	NA	62	49	76	81	54
3	1	3	2	3	42	85	50	72	35
4	NA	3	3	3	32	72	84	74	91
1	4	4	1	4	7	8	1	13	27
3	3	3	2	3	64	96	75	76	71
4	2	NA	3	2	39	50	NA	83	NA
2	2	NA	3	2	65	56	62	90	98
1	1	1	4	4	31	44	35	54	25
4	4	4	4	1	52	17	25	32	13
3	3	3	3	2	61	73	47	43	58
1	1	2	2	2	25	45	65	69	72
4	4	2	2	NA	50	22	65	73	79
NA	1	1	1	1	9	16	24	24	11
2	3	NA	4	1	50	52	68	29	10
2	3	3	2	3	56	93	58	53	96
NA	3	2	NA	2	62	90	98	82	85
3	3	2	3	2	48	93	90	66	70
1	4	1	3	2	58	32	19	78	64
4	4	1	1	1	32	NA	64	27	11
1	3	2	3	3	54	73	48	48	60
1	1	1	1	4	12	25	16	40	20
1	1	1	2	2	24	21	54	73	86
3	2	3	3	3	73	48	48	60	69
4	1	1	4	NA	4	19	33	28	57
4	NA	3	3	2	64	90	78	66	NA
2	3	1	1	1	77	79	NA	50	23
1	1	1	2	2	71	22	31	84	69
4	4	1	1	4	43	56	8	30	64
1	1	1	1	2	15	14	25	45	65
4	1	1	3	3	23	53	32	83	85
NA	2	2	3	4	57	85	67	65	21
1	4	1	1	3	34	NA	39	7	73
3	2	2	3	3	96	97	82	98	93
4	2	NA	1	1	58	76	21	6	9
1	4	1	4	1	21	10	9	23	50
1	1	1	4	1	31	23	58	24	29
3	3	2	3	3	96	90	60	81	57
2	1	3	3	3	78	39	60	62	93
1	4	1	1	1	14	75	6	10	32
2	3	3	3	3	74	47	61	73	47
2	2	2	1	4	81	83	56	37	60
3	4	1	4	1	77	11	55	7	52
2	2	2	3	1	61	96	39	78	40
1	2	2	2	3	45	65	69	72	NA
4	3	2	4	3	47	86	68	41	64
2	4	1	4	1	93	53	37	26	21
3	2	3	3	3	93	54	37	88	67
1	1	1	4	2	NA	50	23	33	64
4	4	4	1	4	11	17	45	23	26
1	1	1	1	3	16	24	24	11	45
3	2	2	1	1	88	80	92	29	19
4	4	4	4	4	25	47	48	43	56
3	1	1	4	4	85	18	NA	17	50
3	3	2	3	2	96	75	76	71	NA
4	1	1	4	4	23	26	7	8	1
1	1	1	2	2	14	25	45	65	69
1	1	2	2	NA	21	54	73	86	70
4	4	1	1	2	46	NA	5	20	72
2	3	2	4	1	78	42	90	11	41
4	4	4	1	3	17	25	32	13	80
3	3	2	2	3	83	46	78	61	75
NA	3	2	2	3	74	94	92	69	37
3	3	1	4	4	91	94	NA	35	23
4	1	1	4	4	7	10	55	42	11
1	4	1	2	4	38	NA	32	85	NA
3	3	4	4	2	64	78	67	22	91
2	2	2	2	3	44	NA	71	67	96
3	3	1	1	4	83	85	18	NA	17
2	3	1	4	4	69	37	24	62	3
2	2	2	2	3	70	61	96	39	78
1	4	1	1	2	56	40	34	12	82
4	1	4	3	2	14	NA	16	74	79
4	4	NA	3	3	24	64	90	78	66
2	3	2	3	2	87	51	51	88	53
3	NA	2	3	3	NA	93	82	54	93
1	1	4	1	4	42	4	5	29	8
1	1	4	4	4	27	11	37	70	67
4	3	3	2	1	23	83	40	70	20
NA	1	1	1	4	58	27	15	25	39
NA	4	1	4	NA	39	29	40	20	87
2	2	1	1	4	90	68	NA	48	8
1	1	4	1	4	28	19	31	63	13
2	4	1	1	2	65	16	21	37	46
1	1	3	4	1	26	13	77	11	55
3	3	2	3	2	93	95	68	50	92
NA	1	4	4	4	12	37	49	50	22
4	1	2	4	1	55	44	82	29	45
2	2	3	2	2	83	51	74	64	95
3	2	2	2	3	43	58	64	NA	79
2	1	NA	3	2	97	57	80	68	65
2	2	2	1	4	64	95	75	14	4
4	4	1	4	1	27	24	56	40	34
4	1	4	1	1	24	56	40	34	12
3	2	3	4	3	46	62	93	22	69
2	3	1	4	4	76	89	28	10	23
1	4	4	2	1	17	26	42	57	16
3	NA	1	1	1	35	58	27	15	25
4	1	4	1	4	14	9	14	NA	16
2	NA	2	2	1	73	79	98	75	29
2	1	3	2	2	56	43	88	74	79
4	3	NA	1	1	12	59	92	36	24
4	NA	1	1	1	15	NA	33	15	14
3	2	3	NA	1	50	72	35	58	27
1	4	4	3	2	26	16	47	86	68
1	4	4	1	3	29	61	14	38	NA
3	2	NA	3	3	76	82	82	78	93
3	2	3	2	1	95	68	50	92	31
NA	3	3	1	4	54	52	80	12	34
2	4	1	4	1	94	38	43	17	74
4	2	2	4	1	33	55	94	38	43
4	1	4	4	1	11	12	13	20	38
1	4	1	4	1	32	30	6	NA	8
1	4	4	4	4	35	54	25	29	80
3	2	3	NA	2	79	56	77	54	85
2	3	2	3	4	91	62	33	85	40
1	4	4	1	1	20	3	18	12	25
1	1	1	2	3	10	32	40	79	62
3	3	2	3	3	91	88	87	59	78
2	3	3	3	2	53	96	55	83	68
2	2	4	1	1	91	67	20	16	14
NA	1	4	1	1	16	14	75	6	10
1	3	2	2	2	13	80	84	44	NA
3	2	NA	1	1	80	64	9	16	24
4	1	1	4	3	16	58	12	45	98
1	4	4	1	4	41	11	28	20	3
2	NA	3	2	2	68	58	94	82	95
3	3	3	2	NA	96	55	83	68	58
3	3	3	3	3	47	61	73	47	43
